# VW Beetle Tracker Data Export
# Export Date: 7/10/2025, 11:30:59 PM
# Vehicle: 1969 Volkswagen Beetle
# 

[VEHICLE_INFO]
Field,Value
Year,1969
Make,Volkswagen
Model,Beetle
VIN,""
Mileage,333

[MAINTENANCE_RECORDS]
ID,Date,Type,Mileage,Notes,Cost,Timestamp
mcbgd4fjuxdrm8ffdv,2025-06-25,other,333,"Various issues",550,2025-06-25T04:26:52.207Z

[ISSUES]
ID,Date,Description,Priority,Resolved,ResolvedDate,LastModified,Timestamp
mcyfmdp63uwsojlrlpv,2025-07-11,"The engine still leaks oil.",high,false,,,2025-07-11T06:24:46.554Z
mcyfm11ny5vwlaful4,2025-07-11,"Passenger side door is slightly off (looks like someone tried to pry it open).",low,false,,,2025-07-11T06:24:30.155Z
mcyfl8h6y7jqh5g50w,2025-07-11,"Passenger side door latch is not working from the inside. I heard loose parts.",medium,false,,,2025-07-11T06:23:53.130Z
mcyfkimh0gwt5d01atbf,2025-07-11,"Driver side door (upholstery needs to be addressed seems loose).",low,false,,,2025-07-11T06:23:19.625Z
mcyfi833m4nzfz7wwf,2025-07-11,"Right headlight is dim (wonder if there is a loose wire from the work under hood).",high,false,,,2025-07-11T06:21:32.655Z
mcyfhggftzmoysb08xq,2025-07-11,"Wiring cover in hood needs to be reattached.",high,false,,,2025-07-11T06:20:56.847Z
mbbb05xq7j09peywo1f,2025-05-22,"Clutch and shifter seem to be failing. When I push in clutch if feels as if it is partially engaging. Matt is working the issue on his dime. Nice. In progress...",critical,true,2025-06-25T04:24:15.737Z,2025-06-07T01:29:49.466Z,2025-05-30T21:17:07.214Z
m9j5cm5asjjfj42k3am,2025-04-15,"Driver side window ""cushion"" is loose needs glue. Fixed with JB Weld.",low,true,2025-06-07T01:47:53.111Z,2025-06-07T01:47:28.305Z,2025-04-15T23:41:35.134Z
m9gl6bs0mjzfd1fpiuk,2025-04-14,"Driverside speaker cover is loose. Went to Car Toys and they tried to pop it back in place worked, but still pops off. I will JB Weld it.",low,true,2025-06-25T04:24:19.302Z,2025-06-06T22:30:47.034Z,2025-04-14T04:41:17.088Z
m9gl59ujeuf79fj7wsg,2025-04-14,"Top latch is working intermittently. Needs to be adjusted. Screw is loose needs replacement or JB Weld.",medium,false,,2025-06-06T22:23:17.876Z,2025-04-14T04:40:27.931Z
m9cp4kuczdcl4rkq62,2025-04-11,"Need to set the miles for tune up, oil change, valve adjustments, and break inspection",low,false,,,2025-04-11T11:20:49.284Z
m9c54zq8pert62y90t,2025-04-11,"Driver side tire seems to collect more carbon from breaks.",low,false,,,2025-04-11T02:01:16.256Z
m9c54byv1ter71znww,2025-04-11,"Windshield wipers seem a bit delicate to operate.",low,true,2025-06-25T04:24:31.375Z,,2025-04-11T02:00:45.463Z
m9c53ok2i4qgpayi5bc,2025-04-11,"Passenger window is stuck. Matt is ordering parts.",medium,false,,2025-07-11T06:30:32.464Z,2025-04-11T02:00:15.122Z
m9c53e756kvtbxbf14r,2025-04-11,"Trunk latch is sticking. There is a workaround to open it.",low,false,,,2025-04-11T02:00:01.697Z
m9c4thdj9n0x04l9bz4,2025-04-11,"Gas tank has potential leak, gas is eroding the paint at the spout.",medium,false,,,2025-04-11T01:52:19.255Z
